Classification,Sequence
amyloid,STVIIE
amyloid,STVIIF
amyloid,STVIIG
non-amyloid,STVIIH
amyloid,STVIII
non-amyloid,STVIIK
amyloid,STVIIL
amyloid,STVIIM
amyloid,STVIIN
non-amyloid,STVIIP
amyloid,STVIIQ
non-amyloid,STVIIR
amyloid,STVIIS
amyloid,STVIIT
amyloid,STVIIV
amyloid,STVIIW
amyloid,STVIIY
non-amyloid,STVIKE
non-amyloid,STVIKT
non-amyloid,STVILE
non-amyloid,STVIME
non-amyloid,STVINE
non-amyloid,STVIPE
non-amyloid,STVIQE
non-amyloid,STVIRE
non-amyloid,STVISE
non-amyloid,STVITE
non-amyloid,STVIVE
non-amyloid,STVIWE
amyloid,STVIYE
non-amyloid,STVKIE
amyloid,STVLIE
non-amyloid,STVMIE
amyloid,STVNIE
non-amyloid,STVPIE
non-amyloid,STVQIE
non-amyloid,STVRIE
non-amyloid,STVSIE
non-amyloid,STVTFE
amyloid,STVTIE
non-amyloid,STVVIE
amyloid,STVWIE
amyloid,STVYIE
amyloid,STWIFE
amyloid,STWIIE
amyloid,STWIYE
amyloid,STWLIE
non-amyloid,STWTFE
non-amyloid,STWTIE
non-amyloid,STYIIE
non-amyloid,SVISLS
amyloid,SVNLDV
non-amyloid,SVNVTQ
amyloid,SVSSSY
amyloid,SVVIIE
non-amyloid,SWGMMG
non-amyloid,SWVIIE
non-amyloid,SYLCDL
non-amyloid,SYLYDL
non-amyloid,SYNNNN
non-amyloid,SYSGSN
amyloid,SYSTMS
amyloid,SYVIIE
non-amyloid,TAAHCF
non-amyloid,TAELIT
amyloid,TAMIIQ
amyloid,TAMLGT
amyloid,TASNSS
amyloid,TATVYV
non-amyloid,TAVHCF
amyloid,TAVTHR
non-amyloid,TAVTTG
amyloid,TAVVTN
non-amyloid,TAWYAE
amyloid,TCMLGT
amyloid,TCVTHR
non-amyloid,TDETVI
non-amyloid,TEEKKE
non-amyloid,TEFTPT
amyloid,TFQINS
non-amyloid,TFSINP
non-amyloid,TFWEIS
amyloid,TGELAT
non-amyloid,TGVTII
non-amyloid,TGVVVV
amyloid,TIITLE
amyloid,TIITVT
non-amyloid,TITQHG
non-amyloid,TKEPTR
non-amyloid,TKKVDT
non-amyloid,TKPAES
non-amyloid,TKVEEP
non-amyloid,TLDQWN
non-amyloid,TLKLVS
non-amyloid,TLKNYI
non-amyloid,TNELYM
non-amyloid,TNNNTN
non-amyloid,TQHGGG
amyloid,TQIVYK
non-amyloid,TQRGFG
non-amyloid,TQVGFG
non-amyloid,TREPTK
non-amyloid,TRNNTV
non-amyloid,TTGVTI
non-amyloid,TTGVVV
amyloid,TTVIIE
non-amyloid,TTVVST
non-amyloid,TTVVTT
non-amyloid,TVFHIG
non-amyloid,TVFPIG
non-amyloid,TVIVIR
non-amyloid,TVKQFG
non-amyloid,TVVSTT
non-amyloid,TYQIIR
amyloid,TYVEYI
amyloid,VAFNIT
amyloid,VAIVYK
non-amyloid,VAMHVF
amyloid,VANFIT
non-amyloid,VANNST
non-amyloid,VATTRT
amyloid,VATVYV
amyloid,VAVHVF
non-amyloid,VAWLKM
amyloid,VCIVYK
amyloid,VDIVYK
non-amyloid,VDQTAS
non-amyloid,VDTKPA
amyloid,VEALYL
non-amyloid,VEDLKI
non-amyloid,VEEPVK
amyloid,VEIVYK
non-amyloid,VFFINQ
amyloid,VFFNNT
amyloid,VFIVYK
non-amyloid,VGFGNN
amyloid,VGIVYK
non-amyloid,VGQGSD
amyloid,VHIVYK
non-amyloid,VHNNSN
amyloid,VIFTIM
amyloid,VIGIAQ
amyloid,VIIVYK
amyloid,VILLIS
non-amyloid,VISLSG
amyloid,VIVATT
non-amyloid,VIVIRT
non-amyloid,VIWIAQ
amyloid,VKIVYK
non-amyloid,VKKEEK
non-amyloid,VKQFGG
non-amyloid,VKWDRD
amyloid,VLIVYK
amyloid,VLVEAQ
amyloid,VMIVYK
amyloid,VNIVYK
non-amyloid,VNNNNI
non-amyloid,VNNNNN
amyloid,VNQLYQ
amyloid,VNVTQV
non-amyloid,VNWCER
non-amyloid,VNWYER
non-amyloid,VPGIAQ
non-amyloid,VPIVYK
non-amyloid,VPQYGG
non-amyloid,VQAVYK
amyloid,VQCVYK
non-amyloid,VQDVYK
non-amyloid,VQEVYK
amyloid,VQFLQS
amyloid,VQFVYK
non-amyloid,VQGVYK
non-amyloid,VQHVYK
non-amyloid,VQIAYK
amyloid,VQICYK
amyloid,VQIDYK
non-amyloid,VQIEYK
amyloid,VQIFYK
non-amyloid,VQIGYK
non-amyloid,VQIHYK
amyloid,VQIINK
amyloid,VQIINK
amyloid,VQIIYK
amyloid,VQIKYK
amyloid,VQILYK
amyloid,VQIMYK
amyloid,VQINYK
non-amyloid,VQIPYK
amyloid,VQIQYK
amyloid,VQIRYK
amyloid,VQISYK
amyloid,VQITYK
amyloid,VQIVAK
amyloid,VQIVCK
amyloid,VQIVDK
amyloid,VQIVEK
amyloid,VQIVFK
amyloid,VQIVGK
amyloid,VQIVHK
amyloid,VQIVIK
amyloid,VQIVKK
amyloid,VQIVLK
amyloid,VQIVMK
amyloid,VQIVNK
amyloid,VQIVPK
amyloid,VQIVQK
amyloid,VQIVRK
amyloid,VQIVSK
amyloid,VQIVTK
amyloid,VQIVVK
amyloid,VQIVWK
amyloid,VQIVYA
amyloid,VQIVYC
amyloid,VQIVYD
amyloid,VQIVYE
amyloid,VQIVYF
amyloid,VQIVYG
amyloid,VQIVYH
amyloid,VQIVYI
amyloid,VQIVYK
amyloid,VQIVYL
amyloid,VQIVYM
amyloid,VQIVYN
amyloid,VQIVYP
amyloid,VQIVYQ
amyloid,VQIVYR
amyloid,VQIVYS
amyloid,VQIVYT
amyloid,VQIVYV
amyloid,VQIVYW
amyloid,VQIVYY
amyloid,VQIWYK
amyloid,VQIYYK
non-amyloid,VQKVYK
amyloid,VQLVYK
amyloid,VQMVYK
amyloid,VQNVYK
non-amyloid,VQPVYK
amyloid,VQQVYK
non-amyloid,VQRVYK
non-amyloid,VQSVYK
non-amyloid,VQTEEK
amyloid,VQTVYK
amyloid,VQVVYK
non-amyloid,VQWVYK
non-amyloid,VQYVYK
amyloid,VRIVYK
amyloid,VSFEIV
amyloid,VSFLSA
non-amyloid,VSIEDS
amyloid,VSIVYK
non-amyloid,VSNLSN
non-amyloid,VSSSGI
amyloid,VSTTVV
amyloid,VTFTIQ
non-amyloid,VTIITV
amyloid,VTIVYK
amyloid,VTLHAT
non-amyloid,VTLSQP
amyloid,VTLWWG
non-amyloid,VTQEFW
amyloid,VTQVGF
amyloid,VTQVGF
amyloid,VTSTFS
non-amyloid,VTTGVT
non-amyloid,VTTGVV
non-amyloid,VTTVVS
amyloid,VTVIIE
amyloid,VTVQAT
amyloid,VVFFIC
amyloid,VVIVYK
non-amyloid,VVPQYG
amyloid,VVSTTV
non-amyloid,VVTSEE
non-amyloid,VVVTSE
non-amyloid,VVVVTS
amyloid,VWIVYK
amyloid,VYIMIG
amyloid,VYIVYK
non-amyloid,VYSCEW
non-amyloid,VYSRHP
non-amyloid,VYSWEW
amyloid,WATVYV
non-amyloid,WGMMGM
non-amyloid,WGSASN
amyloid,WIVIFF
non-amyloid,WNFGTQ
non-amyloid,WNFSTQ
non-amyloid,WPNGIT
amyloid,WPNVIT
amyloid,WQIVYK
non-amyloid,WSFYLL
amyloid,WTFNLY
amyloid,WTVIIE
amyloid,WTVNYS
non-amyloid,WVENYP
amyloid,WVFWIG
non-amyloid,WYFYIQ
amyloid,YAELIV
non-amyloid,YASEIE
non-amyloid,YASNNN
amyloid,YATVYV
non-amyloid,YGGGGN
non-amyloid,YGGGNS
non-amyloid,YGQQNQ
non-amyloid,YGQQQS
non-amyloid,YGQQSY
non-amyloid,YGQSSY
amyloid,YHLAMA
amyloid,YIFNNC
non-amyloid,YIFNNM
non-amyloid,YKNFNY
non-amyloid,YLEIII
amyloid,YLFLQY
non-amyloid,YLGNNS
amyloid,YLLWYC
amyloid,YLLYYT
amyloid,YLNWYQ
amyloid,YLVNFT
non-amyloid,YNAQAQ
non-amyloid,YNNNLQ
non-amyloid,YNNTGS
amyloid,YNNYNN
non-amyloid,YNPDAG
non-amyloid,YNPQGG
non-amyloid,YQAGFQ
non-amyloid,YQAYNA
non-amyloid,YQGYQA
non-amyloid,YQGYSG
amyloid,YQIVYK
non-amyloid,YQLENY
amyloid,YQLIWQ
non-amyloid,YQNYQG
non-amyloid,YQQGGY
non-amyloid,YQQQFN
non-amyloid,YQQQYN
non-amyloid,YQQQYN
non-amyloid,YQQYNP
non-amyloid,YQQYSQ
non-amyloid,YQYGGG
non-amyloid,YSGSNS
non-amyloid,YSGYQQ
non-amyloid,YSQNGN
non-amyloid,YSQNGN
non-amyloid,YTFTIS
non-amyloid,YTNISN
amyloid,YTVIIE
amyloid,YVEYIG
non-amyloid,YVSGFH
non-amyloid,YYNYNN
amyloid,YYQNYQ
non-amyloid,YYQNYQ
non-amyloid,YYTEFT
